date,date,price,rate,inflation,oil_income,total_income,nat_defence,nat_security,house_service,education,health,gdp_dynamic,gdp_real,taxes_income
2013Q3,2013Q3,4.672828834461906,5.5,6.14,8.526416406499644,10151.9565,7.300090702109518,7.240139671742974,4.537306676531698,6.3155896202662625,5.756212672524003,0.0,10.000573427587351,8.538098563407104
2013Q4,2013Q4,4.689051669968793,5.5,6.47,7.516972330628235,3569.0929999999994,6.599373777227439,6.654039756093629,4.533776219893538,5.047963191362233,5.356730132248543,0.07217072082312438,10.075480957111411,7.455935645291351
2014Q1,2014Q1,4.655387902148709,7.0,6.92,7.566646672718746,3725.6412000000005,6.93799695480855,6.1133985112835285,3.4741070170494734,4.962395578402261,4.777554195180505,-0.20556663672214034,9.888531262752322,7.491641346435434
2014Q2,2014Q2,4.69391339582248,7.5,7.81,7.616081374721517,3894.6589999999997,6.167402438262995,6.233669274440707,2.56371783021229,5.299707400003742,4.60059975747333,0.06818224811774057,9.95914929136103,7.530517333604245
2014Q3,2014Q3,4.529584199031496,8.0,8.03,7.554610217964709,3813.508399999999,6.073217790979966,6.225331595651725,3.714571567037391,5.136584010759361,5.101515068069722,0.053868905126472744,10.014523432801935,7.55170307665409
2014Q4,2014Q4,3.9781852076818147,17.0,11.35,7.657073933739506,4144.2726,6.574626506749361,6.657977669190518,3.740346983321719,5.152849300168269,5.263809251639722,0.06777872326225506,10.08470850388605,7.615157620216059
2015Q1,2015Q1,3.959669658895499,14.0,16.9,7.422902431477107,3723.4622999999997,7.3612582683659005,6.097841446073256,3.8797084696383766,4.951108194781602,4.749756126326561,-0.23564429921089378,9.873115970078214,7.625388953330457
2015Q2,2015Q2,4.098668533702155,11.5,15.3,7.333368052893064,3405.596,6.197797590269556,6.226331114565704,2.2424103699579754,5.426129937841599,4.669824325441607,0.05315992386901563,9.927741044336832,7.5364002044135585
2015Q3,2015Q3,3.8273361972609523,11.0,15.7,7.41271114940264,3802.9355,6.058206186472387,6.205520531281354,2.8296953986302604,4.578064113344576,4.90114329262935,0.06723415877640204,9.997342128007752,7.671371687345198
2015Q4,2015Q4,3.559909072816976,11.0,12.9,7.266943262589889,3724.6280000000015,6.82951694245145,6.492494348083819,4.374422798647149,5.237239517039447,5.2786247332023,0.06875400065282182,10.068573933308379,7.73738162820262
2016Q1,2016Q1,3.583796677660784,11.0,7.3,6.92461731245732,2983.4674999999997,6.812086534901325,5.9732496586870765,1.3596936793227115,4.842551891988814,4.610679979161689,-0.218379584437317,9.871052166892857,7.583991522277379
2016Q2,2016Q2,3.846951008684431,10.5,7.5,7.049004810000627,3052.656,6.40276857549494,6.143630973892327,3.352931080252664,5.316224080087941,4.74821022778037,0.058131898602402136,9.930942200850085,7.550105883874624
2016Q3,2016Q3,3.8360055190042304,10.0,6.4,7.1985006547258,3495.234,6.196085611396703,6.0939985720016265,2.6000194568885053,4.529562628479613,4.987530420381159,0.06479261540701248,9.997929173434166,7.6768490974563015
2016Q4,2016Q4,3.978933710710773,10.0,5.4,7.297013495381544,4314.525600000001,7.5434413410681795,6.4806106593319885,3.349553148509817,5.26057603856469,5.063842356061878,0.07319284220468182,10.073938936759594,7.951080343219408
2017Q1,2017Q1,3.92395157629342,9.75,4.3,7.3983335413724065,3909.4307999999996,6.7422408085045635,6.011577910434446,2.894629348148806,4.9859053474756445,4.190660296892689,-0.20906616095188574,9.884090642925397,7.730249660633545
2017Q2,2017Q2,3.830379016387636,9.0,4.4,7.534054553827521,4960.5813,6.6788525503975755,6.415658667177892,4.0404531588282895,5.508064383665832,5.061220037520849,0.06762364236994085,9.95410937153453,8.035896078170866
2017Q3,2017Q3,4.030161533445187,8.5,3.0,6.885839268063157,2701.7117,5.564508146711134,5.746696998309485,2.224309988855185,4.04194890607106,4.282459029883569,0.06748371082842072,10.023978030870751,7.452048154129087
2017Q4,2017Q4,4.200654626915515,7.75,2.5,7.506928811181563,4343.856999999999,7.013698724703215,6.535730266094999,3.729841438835106,5.293169137127387,5.116135799954996,0.058542223928492496,10.084303810269054,7.833300456072849
2018Q1,2018Q1,4.2146429502441345,7.25,2.4,7.590205854295436,4337.1832,6.743767977836536,6.06047555176386,3.6087750778722665,5.209529867732906,4.471190692981587,-0.1911375102517584,9.90939506875059,7.765765160261005
2018Q2,2018Q2,4.336506119372072,7.25,2.3,7.741319708895845,5046.3936,6.6337530756518,6.228142099262435,3.850607070606142,5.545010243002174,5.067700962894775,0.06913096989718955,9.981031756932836,7.917494786595204
2018Q3,2018Q3,4.4075725416416205,7.5,3.4,7.880067376279409,5986.449799999999,6.211413802085496,6.207596575041023,3.121267406134806,4.5294871278836615,4.997983597838826,0.06662405583171027,10.049978974995897,8.114444121534673
2018Q4,2018Q4,3.9243467551169777,7.75,4.3,8.006650360993772,6042.4715000000015,6.89945845533215,6.603085054879277,4.039483507430836,5.5670612379795665,5.288905715580803,0.06406172949289017,10.116184729988177,8.020146533515149
2019Q1,2019Q1,4.2287297569205435,7.75,5.3,7.674558043669484,4957.200000000001,6.764692896140299,6.078870846105649,3.7953992974916093,5.18532782372572,5.154631736568542,-0.21292138136606983,9.92315291551003,7.938919217062281
2019Q2,2019Q2,4.193737306100135,7.5,4.7,7.713865899583725,5217.8148,6.363878776098704,6.1882041623527435,4.395796394884802,5.510704069861542,5.075888559743103,0.06884635225265112,9.994483895657526,7.999219682275915
2019Q3,2019Q3,4.0933440618885175,7.0,4.0,7.556169389226117,5561.587200000001,6.512034440894105,6.1587321089832665,3.551959469548344,5.057972975351484,5.147935077409172,0.07943131865822815,10.077247563668175,8.202230853285764
2019Q4,2019Q4,4.193737306100135,6.25,3.0,7.5551470134541505,5138.637699999998,6.883731402737763,6.616801995281513,4.860676372119293,5.598745240070751,5.438113656159409,0.06680314367734944,10.146386671215687,8.079644856787105
2020Q1,2020Q1,2.715356776284648,6.0,2.5,7.4837844839342305,4707.6435,6.752733469831885,6.072859033025177,4.520031599685262,5.293804699766143,5.950565726720028,-0.23206416698879007,9.937695723865865,7.982308112906468
2020Q2,2020Q2,3.78781940196884,4.5,3.2,6.732269226804918,4190.536599999999,6.443479374955323,6.1999100087778105,4.108104459138286,5.473647876153137,5.554558693262974,-0.020487660560637066,9.917415112233542,8.117159556117777
2020Q3,2020Q3,3.7010550300440697,4.25,3.7,7.097142647364462,4178.4224,6.381103411617039,6.25844142632346,4.853158533434121,5.2196663982890925,5.622754253746206,0.11893631995551349,10.044040486342892,7.996288073122477
2020Q4,2020Q4,3.93123722435195,4.25,4.9,7.278545294929997,5772.017599999998,7.024185399861909,6.6839151100862315,4.540958011593628,5.835654533013435,6.055421258402026,0.08519990461807485,10.133090198911075,8.371736991485072
2021Q1,2021Q1,4.121148764974151,4.5,5.8,7.478786801618226,5798.0906,6.896227488593638,6.23681215370617,5.304232835610065,5.549000595664657,5.5587443711233595,-0.21996984257046034,9.934264059675977,8.301024906271362
2021Q2,2021Q2,4.316287392959792,5.5,6.5,7.844145064801986,7051.693799999999,6.595151627729222,6.434028888853033,4.434104246404156,5.87298839630278,5.983723663627347,0.07939689071991943,10.0169903298311,8.412041054046147
2021Q3,2021Q3,4.3288895362607525,6.75,7.4,7.9566267517546185,7889.848500000003,6.456857563796034,6.45144861654178,4.809314387292519,5.4564935047636665,6.15544072680074,0.06400818850267373,10.083138880774204,8.524252317057702
2021Q4,2021Q4,4.341204640153626,8.5,8.39,8.134930688828062,8746.768799999998,7.49610178714277,6.8679465209643595,5.622021291248699,5.975597325932915,6.393457634722767,0.0942390942390943,10.182118789467491,8.58207962702455
